Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Severe Weather,2017,08/25/2017,6:30 PM,09/05/2017,5:00 PM,Texas:,TRE,Unknown,330000,
Severe Weather,2017,08/25/2017,6:17 PM,09/02/2017,5:00 PM,"Texas: Matagorda County, Nueces County, Aransas County, Refugio County, San Patricio County, Calhoun County, Victoria County, Jackson County, Live Oak County, Jim Wells County, Bee County, Lavaca County;",TRE,Unknown,220400,
Severe Weather,2017,08/26/2017,6:26 AM,09/08/2017,12:00 AM,Texas:,TRE,Unknown,1076868,
Severe Weather,2017,08/26/2017,12:39 AM,08/26/2017,12:52 AM,Texas:,TRE,Unknown,Unknown,
Severe Weather,2017,08/27/2017,5:10 AM,09/08/2017,12:00 AM,Texas: Harris County;,TRE,Unknown,1076868,
Severe Weather,2017,08/30/2017,2:15 AM,Unknown,Unknown,Texas:,TRE,Unknown,78500,
Severe Weather,2017,08/31/2017,2:49 PM,08/31/2017,5:14 PM,California: Los Angeles County;,WECC,100,0,
Severe Weather,2017,09/01/2017,3:41 PM,09/01/2017,8:30 PM,California:,WECC,337,0,
Severe Weather,2017,09/09/2017,12:00 AM,Unknown,Unknown,"Florida: Hillsborough County, Pasco County, Polk County;",FRCC,1275,425000,
Severe Weather,2017,09/09/2017,12:30 PM,Unknown,Unknown,Florida:,FRCC,Unknown,3500000,
Severe Weather,2017,09/10/2017,8:37 PM,Unknown,Unknown,Florida:,FRCC,Unknown,452555,
Severe Weather,2017,09/10/2017,6:35 PM,09/13/2017,5:00 PM,"Florida: Alachua County, Bay County, Brevard County, Citrus County, Columbia County, Dixie County, Flagler County, Franklin County, Gilchrist County, Gulf County, Hamilton County, Hardee County, Hernando County, Highlands County, Jefferson County, Lafayette County, Lake County, Leon County, Levy County, Madison County, Marion County, Orange County, Osceola County, Pasco County, Pinellas County, Polk County, Seminole County, Sumter County, Suwannee County, Taylor County, Volusia County, Wakulla County;",FRCC,4500,1000000,
Severe Weather,2017,09/11/2017,2:27 AM,09/15/2017,8:44 PM,Georgia:,SERC,132,39659,
Severe Weather,2017,09/11/2017,5:30 PM,09/13/2017,9:30 AM,North Carolina: South Carolina:,SERC,365,265729,
Severe Weather,2017,09/11/2017,12:30 AM,Unknown,Unknown,Florida:,FRCC,200,20000,
Severe Weather,2017,09/11/2017,12:55 PM,09/12/2017,8:00 AM,South Carolina:,SERC,687,154832,
Vandalism,2017,10/04/2017,2:30 AM,Unknown,Unknown,Tennessee: Shelby County;,SERC,0,0,
Actual Physical Attack,2017,10/04/2017,1:20 AM,10/04/2017,3:00 AM,Mississippi:,SERC,Unknown,Unknown,
Severe Weather,2017,10/08/2017,3:00 AM,Unknown,Unknown,Alabama: Florida: Mississippi:,SERC,306,91945,
Severe Weather/Transmission Interruption,2017,10/09/2017,2:03 AM,10/17/2017,1:30 PM,California:,WECC,177,117900,
Severe Weather,2017,10/09/2017,6:44 AM,Unknown,Unknown,California:,WECC,100,Unknown,
System Operations,2017,10/12/2017,9:09 AM,Unknown,Unknown,Mississippi: Coahoma County;,SERC,Unknown,Unknown,
Transmission Interruption,2017,10/16/2017,3:55 PM,10/16/17,4:10 PM,Washington:,WECC,0,0,
Transmission Interruption,2017,10/16/2017,3:45 PM,10/16/2017,4:09 PM,Washington: Montana:,WECC,0,0,
Suspected Physical Attack,2017,10/19/2017,4:01 PM,10/19/2017,4:02 PM,Utah: Salt Lake County;,WECC,0,0,
Severe Weather,2017,10/20/2017,3:44 AM,10/20/2017,3:45 AM,Washington:,WECC,900,Unknown,
Vandalism,2017,10/20/2017,6:30 PM,10/20/2017,10:22 PM,Texas:,TRE,0,0,
Severe Weather,2017,10/22/2017,8:45 AM,10/22/2017,2:00 PM,Louisiana: Mississippi: Arkansas: Texas:,SERC,Unknown,Unknown,
Severe Weather,2017,10/23/2017,5:50 PM,10/24/2017,6:17 PM,North Carolina: South Carolina:,SERC,440,115144,
Suspicious Activity,2017,10/25/2017,12:00 PM,10/25/2017,4:00 PM,California:,WECC,Unknown,Unknown,
Actual Physical Attack,2017,10/26/2017,5:50 PM,Unknown,Unknown,Montana: Big Horn County;,WECC,0,0,
Transmission Interruption,2017,10/26/2017,8:17 AM,10/26/2017,8:41 AM,Washington: Whatcom County; Montana:,WECC,0,0,
Transmission Interruption,2017,10/26/2017,8:17 AM,10/26/2017,8:41 AM,Washington: Clark County;,WECC,0,0,
Severe Weather,2017,10/29/2017,11:40 PM,11/01/2017,6:08 PM,Connecticut: Massachusetts: New Hampshire: Maine: Rhode Island: Vermont:,NPCC,Unknown,310453,
Generation Inadequacy,2017,11/01/2017,3:40 PM,11/01/2017,10:00 PM,Kentucky: Daviess County;,SERC,0,0,
Severe Weather,2017,11/05/2017,7:35 PM,11/05/2017,11:09 PM,Ohio:,RF,Unknown,89216,
Suspicious Activity,2017,11/07/2017,12:29 PM,Unknown,Unknown,Louisiana:,SERC,0,0,
System Operations,2017,11/09/2017,8:45 AM,11/09/2017,2:00 PM,Colorado: Weld County;,WECC,0,0,
Severe Weather,2017,11/13/2017,4:33 PM,11/16/2017,6:00 AM,Washington: King County;,WECC,85,68430,
Severe Weather,2017,11/13/2017,2:00 AM,11/15/2017,8:17 AM,"Washington: Island County, King County, Kitsap County, Thurston County, Skagit County, Whatcom County;",WECC,Unknown,236100,
Vandalism,2017,11/16/2017,3:05 PM,11/16/2017,3:06 PM,Oregon: Tillamook County;,WECC,0,0,
Vandalism,2017,11/24/2017,5:06 PM,11/26/2017,5:22 PM,Nevada: Clark County;,WECC,0,0,
Severe Weather/Transmission Interruption,2017,12/04/2017,9:53 PM,Unknown,Unknown,California:,WECC,540,263000,
Severe Weather,2017,12/05/2017,6:30 AM,12/06/2017,10:00 AM,"Michigan: Oscoda County, Isabella County, Roscommon County, Ogemaw County;",RF,Unknown,117500,
Vandalism,2017,12/05/2017,6:50 AM,12/05/2017,9:00 AM,Louisiana:,SERC,0,0,
Severe Weather,2017,12/07/2017,8:00 PM,12/08/2017,5:00 PM,Texas: Bexar County;,TRE,Unknown,88000,
Severe Weather,2017,12/08/2017,9:30 AM,12/08/2017,10:30 PM,Louisiana: Mississippi:,SERC,Unknown,79000,
Severe Weather,2017,12/08/2017,10:00 AM,12/10/2017,8:50 PM,Alabama: Georgia: Mississippi:,SERC,865,301872,
Severe Weather/Transmission Interruption,2017,12/10/2017,1:25 AM,12/10/2017,2:30 AM,"California: Ventura County, Santa Barbara County;",WECC,110,51323,
