Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
System Operations,2020,09/15/2020,3:04 PM,09/15/2020,3:37 PM,North Dakota: South Dakota: Montana:,MRO,0,0,
System Operations,2020,09/16/2020,7:00 AM,09/18/2020,6:00 AM,Florida: Escambia County;,FRCC,0,0,
Severe Weather,2020,09/16/2020,3:00 AM,09/21/2020,8:00 AM,Alabama: Baldwin County;,SERC,0,77600,
Vandalism,2020,09/16/2020,2:09 AM,09/16/2020,2:20 AM,Maine: Oxford County;,NPCC,0,0,
Actual Physical Attack,2020,09/20/2020,8:01 PM,09/21/2020,3:44 PM,Oklahoma: Canadian County;,SPP RE,0,Unknown,
System Operations,2020,09/22/2020,10:02 AM,09/22/2020,12:58 PM,California:,WECC,8,4350,
Vandalism,2020,09/23/2020,12:00 PM,09/23/2020,1:00 PM,New Jersey:,RF,0,0,
Actual Physical Attack,2020,09/26/2020,5:17 AM,09/26/2020,5:41 AM,Nevada: Clark County;,WECC,26,13000,
Natural Disaster,2020,09/27/2020,6:27 PM,09/28/2020,3:17 PM,California:,WECC,337,102267,
Severe Weather,2020,09/30/2020,5:55 AM,09/30/2020,11:30 PM,Connecticut: Maine: Rhode Island: Massachusetts: New Hampshire: Vermont:,NPCC,Unknown,155000,
Suspicious Activity,2020,10/02/2020,7:30 PM,10/04/2020,6:30 AM,Virginia: Hanover County;,SERC,0,0,
Transmission Interruption,2020,10/07/2020,1:45 PM,10/07/2020,1:59 PM,Louisiana: Orleans Parish;,SERC,183,39089,
Severe Weather,2020,10/07/2020,4:00 PM,Unknown,Unknown,New York: Onondaga County;,NPCC,Unknown,7500,
Severe Weather,2020,10/07/2020,6:50 PM,10/09/2020,3:00 PM,Connecticut: Massachusetts: Maine: New Hampshire: Rhode Island: Vermont:,NPCC,Unknown,186600,
Transmission Interruption,2020,10/09/2020,10:44 AM,10/09/2020,10:25 PM,Colorado:,WECC,0,0,
Severe Weather,2020,10/09/2020,8:00 PM,10/15/2020,7:00 AM,Louisiana:,SERC,200,50000,
Severe Weather,2020,10/09/2020,7:50 PM,10/11/2020,3:09 PM,"Louisiana: Acadia Parish, Beauregard Parish, Calcasieu Parish, Evangeline Parish, Iberia Parish, Rapides Parish, Vernon Parish, Avoyelles Parish, Grant Parish, Natchitoches Parish, St. Landry Parish, St. Mary Parish, St. Tammany Parish;",SERC,Unknown,132200,
Severe Weather,2020,10/09/2020,5:30 PM,10/10/2020,6:00 PM,Louisiana: Texas: Arkansas: Mississippi:,SERC,Unknown,477966,
Severe Weather,2020,10/09/2020,8:00 PM,10/10/2020,6:00 AM,Louisiana: Lafayette Parish;,SERC,Unknown,50000,
Transmission Interruption,2020,10/10/2020,11:10 PM,10/10/2020,11:15 PM,Washington: Oregon:,WECC,0,0,
System Operations,2020,10/10/2020,8:05 AM,10/10/2020,12:00 PM,Oregon: Clackamas County;,WECC,0,0,
Severe Weather,2020,10/10/2020,2:22 AM,10/10/2020,5:00 AM,Louisiana: Lafayette Parish;,SERC,Unknown,Unknown,
Transmission Interruption,2020,10/12/2020,4:06 AM,10/12/2020,4:07 AM,Florida: Polk County;,FRCC,0,0,
Severe Weather,2020,10/13/2020,1:14 PM,10/14/2020,2:00 PM,"Washington: Whatcom County, King County, Pierce County, Thurston County, Kittitas County, Kitsap County;",WECC,Unknown,76000,
Transmission Interruption,2020,10/14/2020,6:26 PM,10/15/2020,1:11 PM,Texas: Pecos County;,TRE,18,Unknown,
Vandalism,2020,10/15/2020,11:43 PM,Unknown,Unknown,Washington: Walla Walla County;,WECC,0,0,
System Operations,2020,10/15/2020,4:50 PM,Unknown,Unknown,Michigan:,RF,0,0,
Vandalism,2020,10/16/2020,2:00 PM,10/16/2020,4:00 PM,Kentucky:,SERC,62,0,
Transmission Interruption,2020,10/20/2020,6:48 PM,10/20/2020,6:49 PM,Illinois: Massac County;,SERC,0,0,
Suspicious Activity,2020,10/22/2020,8:00 AM,10/22/2020,8:01 AM,Idaho:,WECC,0,0,
System Operations,2020,10/22/2020,10:48 PM,10/22/2020,11:34 PM,Florida: Pinellas County;,FRCC,0,0,
Transmission Interruption,2020,10/23/2020,3:42 PM,10/23/2020,11:11 PM,Ohio:,RF,Unknown,Unknown,
Severe Weather,2020,10/23/2020,3:46 PM,10/23/2020,11:03 PM,Texas: Harris County;,TRE,Unknown,55506,
Transmission Interruption,2020,10/24/2020,8:13 PM,10/24/2020,10:52 PM,Minnesota: Hennepin County;,MRO,1,4,
Severe Weather,2020,10/25/2020,2:32 PM,10/27/2020,6:00 PM,California:,WECC,1218,370000,
Suspicious Activity,2020,10/25/2020,3:25 AM,10/25/2020,3:45 AM,Wisconsin: Milwaukee County; Michigan:,MRO,0,0,
Severe Weather,2020,10/26/2020,1:00 PM,11/07/2020,7:00 PM,"Oklahoma: Oklahoma County, Canadian County, Logan County, Cleveland County, Pottawatomie County;",SPP RE,Unknown,447000,
Severe Weather,2020,10/26/2020,11:24 AM,10/27/2020,4:43 PM,"California: Los Angeles County, Riverside County, San Bernardino County, Orange County, Kern County, Ventura County;",WECC,Unknown,136833,
Transmission Interruption,2020,10/26/2020,9:28 AM,10/26/2020,12:20 PM,Colorado:,WECC,75,13000,
Vandalism,2020,10/26/2020,10:00 AM,10/26/2020,10:15 AM,Kentucky:,SERC,64,0,
Severe Weather,2020,10/27/2020,5:50 PM,Unknown,Unknown,Oklahoma:,SPP RE,Unknown,235000,
Severe Weather,2020,10/28/2020,9:37 PM,11/02/2020,7:30 PM,Alabama: Florida: Mississippi: Georgia:,SERC,253,35478,
Severe Weather,2020,10/28/2020,6:00 PM,10/29/2020,1:15 AM,Louisiana:,SERC,Unknown,481268,
Transmission Interruption,2020,10/28/2020,11:53 AM,10/28/2020,3:26 PM,Texas:,TRE,Unknown,Unknown,
Severe Weather,2020,10/28/2020,10:28 AM,10/28/2020,10:29 AM,Texas:,TRE,Unknown,Unknown,
Severe Weather,2020,10/28/2020,5:12 PM,10/29/2020,4:30 PM,"Louisiana: St. Tammany Parish, St. Mary Parish;",SERC,Unknown,72707,
Severe Weather,2020,10/29/2020,8:15 AM,10/31/2020,6:45 PM,North Carolina: South Carolina:,SERC,Unknown,461580,
System Operations,2020,10/29/2020,11:58 AM,10/29/2020,1:10 PM,Maine:,NPCC,0,0,
Severe Weather,2020,10/29/2020,2:00 AM,10/31/2020,9:00 AM,"Alabama: Baldwin County, Butler County, Clarke County, Conecuh County, Escambia County, Lee County, Lowndes County, Macon County, Montgomery County, Pike County, Russell County, Tallapoosa County, Talladega County, Washington County, Monroe County; Florida: Escambia County, Okaloosa County, Walton County, Santa Rosa County;",SERC,0,90000,
Severe Weather,2020,11/01/2020,6:00 PM,11/01/2020,6:09 PM,Ohio:,RF,Unknown,85677,
Suspicious Activity,2020,11/01/2020,12:31 PM,11/01/2020,12:35 PM,California: Placer County;,WECC,0,0,
Suspicious Activity,2020,11/02/2020,11:12 AM,11/02/2020,11:21 AM,Florida:,FRCC,0,0,
Transmission Interruption,2020,11/07/2020,5:40 PM,11/07/2020,10:10 PM,Colorado:,WECC,0,0,
Vandalism,2020,11/09/2020,12:00 PM,11/10/2020,9:45 AM,New Hampshire: Coos County;,NPCC,0,0,
System Operations,2020,11/10/2020,10:42 AM,11/10/2020,12:45 PM,Arizona: Maricopa County;,WECC,0,0,
System Operations,2020,11/13/2020,12:20 AM,11/13/2020,8:00 AM,Washington: Snohomish County;,WECC,0,0,
Fuel Supply Deficiency,2020,11/14/2020,7:40 AM,Unknown,Unknown,California: San Bernardino County;,WECC,0,0,
Severe Weather,2020,11/15/2020,3:08 PM,11/15/2020,10:30 PM,Ohio:,RF,Unknown,123361,
Severe Weather,2020,11/15/2020,2:52 PM,11/16/2020,5:59 AM,Ohio:,RF,Unknown,96809,
Severe Weather,2020,11/15/2020,12:30 PM,11/18/2020,9:44 AM,"Michigan: Huron County, Livingston County, Macomb County, Monroe County, Wayne County, Washtenaw County, Tuscola County, St. Clair County, Lapeer County, Oakland County;",RF,Unknown,150000,
Severe Weather,2020,11/15/2020,3:37 PM,11/17/2020,12:15 PM,"Michigan: Iosco County, Oscoda County, Ogemaw County, Livingston County, Ionia County, Barry County;",RF,Unknown,57327,
Severe Weather,2020,11/15/2020,11:05 PM,11/16/2020,5:00 AM,Connecticut: Massachusetts: Maine: New Hampshire: Rhode Island: Vermont:,NPCC,Unknown,62408,
Severe Weather,2020,11/15/2020,11:30 AM,11/16/2020,3:25 AM,Ohio: West Virginia: Virginia: Indiana:,RF,Unknown,75000,
System Operations,2020,11/18/2020,8:30 AM,11/18/2020,10:50 AM,Missouri: Jackson County;,SERC,0,0,
System Operations,2020,11/18/2020,10:20 AM,11/18/2020,11:18 AM,Maine:,NPCC,0,0,
System Operations,2020,11/20/2020,9:10 AM,11/20/2020,9:22 AM,Texas: Kentucky: Arizona: New Mexico: Oregon: Washington:,TRE,0,Unknown,
Actual Physical Attack,2020,11/21/2020,11:59 AM,11/21/2020,12:59 PM,Nevada: Clark County;,WECC,21,577,
System Operations,2020,11/23/2020,5:50 AM,11/23/2020,7:27 AM,Wisconsin: Dane County;,MRO,0,0,
Transmission Interruption,2020,11/30/2020,2:33 PM,11/30/2020,5:20 PM,Texas: El Paso County;,TRE,0,0,
Severe Weather,2020,11/30/2020,4:24 PM,12/01/2020,2:25 PM,Massachusetts: Maine: Connecticut: Rhode Island: Vermont: New Hampshire:,NPCC,Unknown,116000,
Severe Weather,2020,12/01/2020,12:32 PM,12/01/2020,10:50 PM,Ohio:,RF,Unknown,170190,
Transmission Interruption,2020,12/03/2020,9:01 AM,12/03/2020,9:03 AM,Colorado:,WECC,89,0,
Severe Weather,2020,12/03/2020,12:44 AM,12/05/2020,11:03 AM,California: San Diego County;,WECC,93,73000,
Severe Weather,2020,12/03/2020,10:57 AM,12/04/2020,3:02 PM,"California: Kern County, Los Angeles County, Orange County, Riverside County, San Bernardino County, San Diego County, Tulare County, Ventura County;",WECC,132,51686,
Severe Weather,2020,12/05/2020,4:40 PM,Unknown,Unknown,Connecticut: Massachusetts: Maine: New Hampshire: Rhode Island: Vermont:,NPCC,Unknown,271231,
System Operations,2020,12/06/2020,9:45 AM,12/06/2020,5:00 PM,Pennsylvania:,RF,0,0,
Severe Weather,2020,12/07/2020,6:10 PM,12/08/2020,9:09 PM,"California: Kern County, Los Angeles County, Orange County, Riverside County, San Bernardino County, Ventura County, Tulare County;",WECC,286,76234,
System Operations,2020,12/08/2020,9:43 AM,12/08/2020,10:33 AM,Michigan: Wayne County;,RF,0,0,
System Operations,2020,12/09/2020,1:20 PM,12/09/2020,2:30 PM,Missouri: Kansas:,MRO,0,0,
System Operations,2020,12/10/2020,4:30 PM,12/12/2020,5:00 AM,Washington: King County;,WECC,0,0,
System Operations,2020,12/11/2020,10:51 PM,12/11/2020,11:57 PM,Texas: Harris County;,TRE,0,0,
System Operations,2020,12/13/2020,6:47 AM,12/13/2020,7:36 AM,California:,WECC,298,159239,
Cyber Event,2020,12/14/2020,11:00 AM,Unknown,Unknown,Idaho: Oregon:,WECC,0,0,
System Operations,2020,12/14/2020,5:01 PM,12/14/2020,5:34 PM,California:,WECC,0,0,
Cyber Event,2020,12/14/2020,1:30 AM,Unknown,Unknown,New Jersey: Pennsylvania: Maryland: Illinois: Delaware: District of Columbia:,RF,0,0,
Transmission Interruption,2020,12/16/2020,11:20 PM,12/17/2020,7:20 AM,Oklahoma:,MRO,Unknown,Unknown,
Severe Weather,2020,12/17/2020,8:07 AM,12/17/2020,8:32 AM,California:,WECC,35,17000,
System Operations,2020,12/17/2020,4:19 PM,12/17/2020,4:57 PM,Michigan: Wayne County;,RF,0,0,
Suspicious Activity,2020,12/18/2020,6:34 AM,12/18/2020,9:51 AM,Oregon: Clackamas County;,WECC,0,0,
Cyber Event,2020,12/20/2020,5:06 AM,12/20/2020,5:22 AM,California: Los Angeles County;,WECC,0,0,
Vandalism,2020,12/22/2020,2:20 AM,12/22/2020,2:21 AM,Washington: Pierce County;,WECC,0,2000,
Severe Weather/Distribution Interruption,2020,12/24/2020,11:40 PM,Unknown,Unknown,"Pennsylvania: Bucks County, Chester County, Delaware County, Montgomery County, Philadelphia County, York County;",RF,Unknown,68114,
Vandalism,2020,12/25/2020,3:51 AM,12/25/2020,3:52 AM,California:,WECC,0,0,
Suspicious Activity,2020,12/25/2020,6:51 PM,12/25/2020,7:24 PM,Ohio: Kentucky:,RF,0,0,
Severe Weather,2020,12/25/2020,7:55 AM,12/25/2020,4:45 PM,Connecticut: Maine: New Hampshire: Massachusetts: Rhode Island: Vermont:,NPCC,Unknown,19000,
Vandalism,2020,12/28/2020,5:31 PM,12/29/2020,1:31 PM,Virginia:,SERC,0,0,
Vandalism,2021,01/01/2021,7:04 AM,01/01/2021,7:05 AM,California: Alameda County;,WECC,0,0,
System Operations,2021,01/02/2021,10:28 AM,01/02/2021,10:29 AM,California: Butte County;,WECC,8,5803,
Transmission Interruption,2021,01/04/2021,10:34 AM,01/04/2021,10:49 AM,Pennsylvania:,RF,6,3825,
Sabotage,2021,01/08/2021,1:26 AM,01/08/2021,2:45 AM,Arkansas: Prairie County;,SERC,Unknown,1908,
Severe Weather,2021,01/10/2021,10:44 PM,01/13/2021,4:00 PM,"Texas: Anderson County, Angelina County, Dallas County, Freestone County, Henderson County, Houston County, Leon County, Nacogdoches County, Smith County, Tarrant County;",TRE,Unknown,188000,
Severe Weather/Distribution Interruption,2021,01/11/2021,5:00 AM,01/11/2021,2:22 PM,Louisiana: Texas:,SERC,Unknown,58000,
Severe Weather,2021,01/12/2021,11:50 PM,01/15/2021,1:00 PM,"Washington: Kitsap County, Thurston County, King County, Pierce County, Skagit County, Whatcom County;",WECC,100,320000,
Severe Weather,2021,01/12/2021,8:46 PM,01/13/2021,4:00 PM,"Oregon: Clackamas County, Multnomah County, Washington County;",WECC,Unknown,94231,
Severe Weather/Distribution Interruption,2021,01/12/2021,11:49 PM,01/14/2021,2:00 PM,Washington:,WECC,150,70000,
Severe Weather/Transmission Interruption,2021,01/12/2021,8:30 PM,Unknown,Unknown,Washington: Snohomish County;,WECC,200,62000,
Severe Weather,2021,01/13/2021,3:43 AM,01/13/2021,4:00 PM,Washington: Idaho:,WECC,185,70417,
Vandalism,2021,01/13/2021,1:05 PM,01/13/2021,1:06 PM,Georgia: Houston County;,SERC,0,0,
System Operations,2021,01/15/2021,5:48 PM,01/15/2021,6:55 PM,Missouri:,SERC,0,0,
System Operations,2021,01/18/2021,2:07 PM,01/18/2021,2:42 PM,Connecticut:,NPCC,0,0,
Severe Weather,2021,01/19/2021,9:31 AM,01/21/2021,2:36 PM,"California: Kern County, Los Angeles County, Riverside County, San Bernardino County, Ventura County, Orange County;",WECC,Unknown,173746,
Severe Weather,2021,01/19/2021,2:48 AM,01/20/2021,11:41 AM,California:,WECC,411,124888,
Vandalism,2021,01/21/2021,12:00 AM,02/03/2021,4:55 PM,Texas: Louisiana: Arkansas: Pulaski County; Mississippi:,TRE,0,0,
Cyber Event,2021,01/23/2021,7:00 AM,01/27/2021,1:45 PM,Georgia: Laurens County;,SERC,29,Unknown,
Suspicious Activity,2021,01/23/2021,7:45 AM,01/23/2021,8:00 AM,"California: Placer County, Nevada County;",WECC,45,0,
Severe Weather,2021,01/26/2021,8:49 PM,01/28/2021,9:14 PM,California:,WECC,841,255715,
Vandalism,2021,01/27/2021,12:30 PM,01/27/2021,4:18 PM,New Hampshire: Hillsborough County;,NPCC,0,0,
Vandalism,2021,01/28/2021,10:15 AM,01/28/2021,4:46 PM,New Hampshire: Hillsborough County;,NPCC,0,0,
Transmission Interruption,2021,02/01/2021,11:25 PM,02/02/2021,1:12 AM,Texas: Kleberg County;,TRE,13,6102,
Severe Weather/Transmission Interruption,2021,02/02/2021,12:34 PM,02/02/2021,3:43 PM,South Dakota: Hughes County;,MRO,5,4,
Severe Weather/Transmission Interruption,2021,02/02/2021,9:25 AM,02/03/2021,11:38 AM,South Dakota: Hughes County;,MRO,5,3,
Transmission Interruption,2021,02/03/2021,2:22 PM,02/04/2021,10:32 PM,"North Dakota: Logan County, Emmons County, McIntosh County;",MRO,7,1400,
Vandalism,2021,02/05/2021,9:43 AM,02/05/2021,11:19 AM,Arkansas: Arkansas County;,SERC,0,0,
Transmission Interruption,2021,02/06/2021,6:50 AM,02/06/2021,2:43 PM,Ohio: Kentucky:,RF,0,0,
Suspicious Activity,2021,02/07/2021,6:57 AM,02/07/2021,7:34 AM,Texas: Cameron County;,TRE,0,0,
Transmission Interruption,2021,02/08/2021,7:04 AM,02/08/2021,2:10 PM,Minnesota: St. Louis County;,MRO,0,0,
System Operations,2021,02/08/2021,6:19 PM,02/08/2021,6:29 PM,New Hampshire: Hillsborough County;,NPCC,0,0,
Vandalism,2021,02/09/2021,1:00 PM,02/10/2021,2:21 PM,Oregon: Tillamook County;,WECC,0,0,
Transmission Interruption,2021,02/09/2021,10:51 AM,Unknown,Unknown,North Carolina:,SERC,0,0,
Severe Weather,2021,02/10/2021,3:00 PM,02/23/2021,3:00 PM,Texas:,TRE,Unknown,2000000,
Fuel Supply Deficiency,2021,02/11/2021,8:30 AM,02/22/2021,9:00 AM,Illinois: Scott County;,SERC,Unknown,Unknown,
Transmission Interruption,2021,02/11/2021,7:21 PM,02/11/2021,9:20 PM,Colorado: Morgan County;,WECC,0,0,
Fuel Supply Deficiency,2021,02/11/2021,1:00 PM,Unknown,Unknown,Kansas:,MRO,0,0,
Severe Weather,2021,02/12/2021,9:00 PM,02/20/2021,5:15 PM,"Oregon: Clackamas County, Marion County, Polk County, Multnomah County, Washington County, Yamhill County;",WECC,Unknown,300187,
Fuel Supply Deficiency,2021,02/12/2021,3:30 PM,02/22/2021,7:30 AM,Texas:,TRE,Unknown,Unknown,
Severe Weather,2021,02/13/2021,9:56 AM,02/13/2021,11:01 AM,Washington: Lewis County;,WECC,164,37583,
Severe Weather,2021,02/13/2021,1:30 PM,02/20/2021,8:00 AM,Texas:,TRE,Unknown,Unknown,
Severe Weather,2021,02/13/2021,1:30 PM,02/19/2021,9:00 PM,West Virginia: Virginia:,RF,Unknown,55097,
Severe Weather,2021,02/13/2021,8:32 AM,02/14/2021,3:00 PM,South Carolina: North Carolina:,SERC,Unknown,129000,
Severe Weather,2021,02/14/2021,8:30 AM,02/19/2021,6:00 PM,Texas:,TRE,7214,Unknown,
Severe Weather,2021,02/14/2021,8:30 AM,02/19/2021,6:00 PM,Texas:,TRE,Unknown,Unknown,
Severe Weather,2021,02/14/2021,5:30 AM,02/18/2021,10:00 AM,Oklahoma:,MRO,Unknown,Unknown,
Severe Weather,2021,02/14/2021,8:21 PM,02/18/2021,9:30 AM,Arkansas: Louisiana: Texas: Oklahoma:,SERC,461,125484,
Severe Weather,2021,02/14/2021,8:00 PM,02/18/2021,9:28 AM,North Dakota: South Dakota: Nebraska: Kansas: Oklahoma: Texas:,MRO,3000,Unknown,
Severe Weather,2021,02/14/2021,7:05 PM,Unknown,Unknown,Missouri: Kansas:,SERC,Unknown,Unknown,
Severe Weather,2021,02/14/2021,8:32 PM,Unknown,Unknown,Nebraska: Lancaster County;,MRO,0,0,
Severe Weather,2021,02/14/2021,6:00 PM,02/16/2021,10:00 PM,Missouri: Jasper County;,SERC,0,0,
Severe Weather,2021,02/15/2021,1:20 AM,02/18/2021,12:42 AM,"Texas: Hidalgo County, Cameron County;",TRE,Unknown,Unknown,
Severe Weather,2021,02/15/2021,1:20 AM,02/18/2021,12:02 AM,Texas: Harris County;,TRE,4966,1390000,
System Operations,2021,02/15/2021,4:00 PM,02/15/2021,6:34 PM,Texas: Travis County;,TRE,0,0,
Severe Weather,2021,02/15/2021,12:00 AM,Unknown,Unknown,Texas:,TRE,500,Unknown,
Severe Weather,2021,02/15/2021,5:36 AM,Unknown,Unknown,Texas:,TRE,300,Unknown,
Severe Weather,2021,02/15/2021,1:00 PM,02/20/2021,10:00 AM,Texas:,TRE,Unknown,175000,
Severe Weather,2021,02/15/2021,1:54 AM,02/17/2021,11:56 PM,Texas:,TRE,524,Unknown,
Severe Weather,2021,02/15/2021,1:20 AM,02/19/2021,9:00 AM,Texas:,TRE,7214,Unknown,
Severe Weather,2021,02/15/2021,3:00 PM,02/19/2021,10:00 AM,Louisiana:,SERC,Unknown,Unknown,
Severe Weather,2021,02/15/2021,2:51 AM,02/19/2021,9:00 AM,Texas: Travis County;,TRE,Unknown,219306,
Severe Weather,2021,02/15/2021,1:54 AM,02/19/2021,9:00 AM,Texas: Travis County;,TRE,724,Unknown,
Severe Weather,2021,02/15/2021,3:06 AM,Unknown,Unknown,Texas: Bexar County;,TRE,Unknown,154000,
Severe Weather,2021,02/15/2021,5:27 AM,02/18/2021,8:18 AM,Texas:,TRE,Unknown,Unknown,
Severe Weather,2021,02/15/2021,1:23 AM,02/19/2021,5:30 AM,Texas:,TRE,Unknown,Unknown,
Severe Weather,2021,02/15/2021,8:50 AM,02/18/2021,9:30 AM,Kansas:,MRO,Unknown,Unknown,
Fuel Supply Deficiency,2021,02/15/2021,7:00 AM,02/18/2021,9:00 AM,Oklahoma:,MRO,0,0,
Fuel Supply Deficiency,2021,02/15/2021,7:48 PM,02/18/2021,10:30 AM,Oklahoma: Kay County;,MRO,0,Unknown,
Severe Weather,2021,02/15/2021,10:24 AM,02/18/2021,9:52 AM,Texas: Lubbock County;,TRE,116,29942,
Severe Weather,2021,02/15/2021,6:00 PM,02/15/2021,11:55 PM,Texas:,TRE,Unknown,Unknown,
Severe Weather,2021,02/15/2021,5:40 AM,02/16/2021,1:11 PM,Texas:,TRE,800,Unknown,
Severe Weather,2021,02/15/2021,6:45 AM,Unknown,Unknown,Texas: Arkansas:,TRE,Unknown,Unknown,
Severe Weather,2021,02/15/2021,5:00 AM,02/17/2021,4:00 PM,Arkansas: Pulaski County;,SERC,Unknown,Unknown,
Severe Weather,2021,02/15/2021,5:00 PM,02/15/2021,10:59 PM,Mississippi:,SERC,Unknown,Unknown,
Severe Weather,2021,02/15/2021,7:52 AM,02/17/2021,2:15 PM,"Texas: Austin County, Bastrop County, Burleson County, Caldwell County, Colorado County, Fayette County, Gonzales County, Guadalupe County, Hays County, Lee County, Milam County, Travis County, Washington County, Williamson County;",TRE,107,25000,
Severe Weather,2021,02/15/2021,6:51 AM,02/16/2021,1:19 PM,Oklahoma:,MRO,350,200000,
System Operations,2021,02/15/2021,6:00 PM,02/15/2021,11:59 PM,Louisiana:,SERC,Unknown,Unknown,
Severe Weather,2021,02/15/2021,6:00 PM,02/15/2021,11:59 PM,Texas:,TRE,Unknown,Unknown,
Fuel Supply Deficiency,2021,02/15/2021,2:00 PM,02/15/2021,6:00 PM,Louisiana:,SERC,Unknown,Unknown,
Severe Weather,2021,02/15/2021,1:20 AM,Unknown,Unknown,Texas:,TRE,360,72000,
Severe Weather,2021,02/15/2021,12:18 PM,02/15/2021,1:22 PM,Missouri: Kansas:,SERC,Unknown,Unknown,
Fuel Supply Deficiency,2021,02/15/2021,10:00 AM,Unknown,Unknown,Nebraska: Lancaster County;,MRO,613,Unknown,
Severe Weather,2021,02/15/2021,9:10 AM,Unknown,Unknown,Texas: Randall County;,TRE,0,0,
Severe Weather,2021,02/15/2021,5:36 AM,Unknown,Unknown,Texas:,TRE,300,Unknown,
Severe Weather,2021,02/15/2021,12:00 AM,Unknown,Unknown,Texas:,TRE,500,Unknown,
Severe Weather,2021,02/16/2021,7:03 AM,02/20/2021,10:00 PM,Kansas: Missouri:,MRO,Unknown,222000,
Transmission Interruption,2021,02/16/2021,6:19 PM,Unknown,Unknown,Arkansas:,SERC,Unknown,Unknown,
System Operations,2021,02/16/2021,5:45 PM,02/16/2021,7:15 PM,Texas: Travis County;,TRE,0,0,
Severe Weather,2021,02/16/2021,6:48 AM,Unknown,Unknown,Louisiana:,SERC,360,Unknown,
Fuel Supply Deficiency,2021,02/16/2021,6:35 PM,02/17/2021,1:00 AM,Texas:,TRE,Unknown,Unknown,
System Operations,2021,02/16/2021,11:28 PM,Unknown,Unknown,Texas:,TRE,0,0,
Severe Weather,2021,02/16/2021,4:40 PM,02/20/2021,12:00 AM,Missouri:,SERC,Unknown,Unknown,
Severe Weather,2021,02/16/2021,5:35 PM,02/17/2021,12:00 AM,Mississippi:,SERC,Unknown,Unknown,
Severe Weather,2021,02/16/2021,7:20 AM,02/16/2021,10:02 AM,"Nebraska: Douglas County, Burt County, Washington County, Dodge County, Colfax County, Saunders County, Sarpy County, Cass County, Otoe County, Johnson County, Nemaha County, Pawnee County, Richardson County;",MRO,126,81100,
Severe Weather,2021,02/16/2021,5:30 AM,02/16/2021,2:00 PM,Louisiana: Texas: Illinois:,SERC,1420,Unknown,
Severe Weather,2021,02/16/2021,7:43 PM,02/16/2021,9:41 PM,Louisiana: Arkansas: Texas: Mississippi:,SERC,700,Unknown,
Severe Weather,2021,02/16/2021,7:40 PM,02/17/2021,1:00 AM,Texas:,TRE,538,Unknown,
Severe Weather,2021,02/16/2021,7:17 AM,02/16/2021,10:08 AM,Texas:,TRE,168,840000,
System Operations,2021,02/16/2021,6:35 PM,02/17/2021,1:00 AM,Louisiana:,SERC,Unknown,Unknown,
System Operations,2021,02/16/2021,10:20 AM,02/16/2021,1:20 PM,Oregon: Multnomah County;,WECC,0,0,
Transmission Interruption,2021,02/16/2021,9:31 AM,02/16/2021,10:27 AM,Nebraska: Custer County;,MRO,31,Unknown,
Severe Weather,2021,02/16/2021,5:35 PM,02/17/2021,12:00 AM,Louisiana: Lafayette Parish;,SERC,Unknown,Unknown,
System Operations,2021,02/16/2021,6:24 AM,02/16/2021,10:41 AM,Louisiana:,SERC,100,18150,
Severe Weather,2021,02/16/2021,1:00 AM,02/16/2021,9:28 PM,Kentucky:,SERC,Unknown,54167,
Severe Weather/Transmission Interruption,2021,02/16/2021,6:10 AM,Unknown,Unknown,Missouri:,SERC,130,Unknown,
Cyber Event,2021,02/16/2021,7:00 AM,Unknown,Unknown,New Jersey: Pennsylvania: Texas: California: Illinois: Colorado:,RF,Unknown,0,
Severe Weather,2021,02/16/2021,7:22 AM,02/16/2021,8:00 AM,"Louisiana: Allen Parish, St. Landry Parish, Evangeline Parish;",SERC,153,Unknown,
Severe Weather,2021,02/16/2021,6:48 AM,Unknown,Unknown,Louisiana: Texas:,SERC,402,Unknown,
Severe Weather,2021,02/16/2021,4:26 AM,Unknown,Unknown,Texas:,TRE,300,Unknown,
System Operations,2021,02/17/2021,6:00 PM,02/17/2021,11:00 PM,Louisiana:,SERC,Unknown,Unknown,
Severe Weather,2021,02/17/2021,6:00 PM,02/17/2021,11:00 PM,Texas:,TRE,Unknown,Unknown,
Fuel Supply Deficiency,2021,02/17/2021,9:00 AM,02/19/2021,9:00 AM,Kansas:,MRO,Unknown,Unknown,
Severe Weather,2021,02/17/2021,5:00 PM,02/17/2021,10:00 PM,Mississippi:,SERC,Unknown,Unknown,
Transmission Interruption,2021,02/17/2021,10:30 AM,02/17/2021,6:04 PM,North Carolina:,SERC,0,0,
Severe Weather,2021,02/17/2021,5:00 PM,02/17/2021,10:00 PM,Louisiana: Lafayette Parish;,SERC,400,67000,
System Operations,2021,02/17/2021,6:38 AM,02/17/2021,8:37 AM,Texas: Travis County;,TRE,0,0,
Severe Weather,2021,02/19/2021,6:48 AM,Unknown,Unknown,Louisiana: Texas:,SERC,402,Unknown,
Cyber Event,2021,02/19/2021,9:00 PM,02/20/2021,1:00 PM,Texas:,TRE,Unknown,0,
System Operations,2021,02/19/2021,12:01 PM,02/19/2021,12:41 PM,New York: Broome County;,NPCC,0,0,
System Operations,2021,02/27/2021,6:02 AM,02/27/2021,9:51 AM,"Oregon: Multnomah County, Clackamas County;",WECC,Unknown,0,
